FACID,FACNAME,FAC_FDR,BED_CAPACITY_TYPE,BED_CAPACITY,COUNTY_NAME,DATA_DATE
060001150,SAN YUBA HOME,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,INTERMEDIATE CARE/DD HABILITATIVE,6,ORANGE,2025-12-15
060001154,PARK VISTA AT MORNINGSIDE,SKILLED NURSING FACILITY,SKILLED NURSING,59,ORANGE,2025-12-15
060001166,FOOTHILL REGIONAL MEDICAL CENTER D/P SNF,SKILLED NURSING FACILITY,SKILLED NURSING,42,ORANGE,2025-12-15
060001192,ELIZABETH HOMES I,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,INTERMEDIATE CARE/DD HABILITATIVE,6,ORANGE,2025-12-15
060001197,ABLELIGHT INC. - MAWSON,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,INTERMEDIATE CARE/DD HABILITATIVE,6,ORANGE,2025-12-15
060001201,WEST ANAHEIM MEDICAL CENTER D/P SNF,SKILLED NURSING FACILITY,SKILLED NURSING,22,ORANGE,2025-12-15
060001207,RADY CHILDREN'S HOSPITAL,GENERAL ACUTE CARE HOSPITAL,INTENSIVE CARE,8,ORANGE,2025-12-15
060001207,RADY CHILDREN'S HOSPITAL,GENERAL ACUTE CARE HOSPITAL,INTENSIVE CARE NEWBORN NURSERY,22,ORANGE,2025-12-15
060001207,RADY CHILDREN'S HOSPITAL,GENERAL ACUTE CARE HOSPITAL,PEDIATRIC,24,ORANGE,2025-12-15
060001246,ALICIA PARKWAY GUEST HOME,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,INTERMEDIATE CARE/DD HABILITATIVE,6,ORANGE,2025-12-15
060001255,"SOUTH COAST GLOBAL MEDICAL CENTER, INC. D/P SNF",SKILLED NURSING FACILITY,SKILLED NURSING,46,ORANGE,2025-12-15
060001302,ORANGE COUNTY GLOBAL MEDICAL CENTER  D/P APH,ACUTE PSYCHIATRIC HOSPITAL,ACUTE PSYCHIATRIC CARE,28,ORANGE,2025-12-15
060001305,RAINBOW HOUSE ICF/DD-H,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,INTERMEDIATE CARE/DD HABILITATIVE,6,ORANGE,2025-12-15
060001309,ELIZABETH HOMES II,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,INTERMEDIATE CARE/DD HABILITATIVE,6,ORANGE,2025-12-15
060001313,VIA LARGA PLACE,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,INTERMEDIATE CARE/DD NURSING,6,ORANGE,2025-12-15
060001314,SEA BRIGHT PLACE,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,INTERMEDIATE CARE/DD NURSING,6,ORANGE,2025-12-15
060001315,CALLE SONORA PLACE,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,INTERMEDIATE CARE/DD NURSING,6,ORANGE,2025-12-15
060001360,KINDRED HOSPITAL BREA,GENERAL ACUTE CARE HOSPITAL,INTENSIVE CARE,4,ORANGE,2025-12-15
060001360,KINDRED HOSPITAL BREA,GENERAL ACUTE CARE HOSPITAL,UNSPECIFIED GENERAL ACUTE CARE,44,ORANGE,2025-12-15
060001366,ABLELIGHT INC. - FERROCARRIL,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,INTERMEDIATE CARE/DD HABILITATIVE,6,ORANGE,2025-12-15
060001374,MERCED HOME ICF/DD-H,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,INTERMEDIATE CARE/DD HABILITATIVE,6,ORANGE,2025-12-15
060001375,ARTEMIA HOUSE,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,INTERMEDIATE CARE/DD NURSING,6,ORANGE,2025-12-15
060001376,ALL AMERICAN HOME,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,INTERMEDIATE CARE/DD HABILITATIVE,6,ORANGE,2025-12-15
060001378,"SOUTH COAST GLOBAL MEDICAL CENTER, INC. D/P APH",ACUTE PSYCHIATRIC HOSPITAL,ACUTE PSYCHIATRIC CARE,23,ORANGE,2025-12-15
060001414,SUNSET HAVEN HOME,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,INTERMEDIATE CARE/DD NURSING,6,ORANGE,2025-12-15
060001420,WEST ANAHEIM MEDICAL CENTER D/P APH,ACUTE PSYCHIATRIC HOSPITAL,ACUTE PSYCHIATRIC CARE,30,ORANGE,2025-12-15
060001440,QUALITY CARE HOME,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,INTERMEDIATE CARE/DD NURSING,6,ORANGE,2025-12-15
060001450,CACHUELA ICF/DD-N HOME,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,INTERMEDIATE CARE/DD NURSING,6,ORANGE,2025-12-15
060001454,SUNRISE HOME CARE,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,INTERMEDIATE CARE/DD HABILITATIVE,6,ORANGE,2025-12-15
060001466,MANGO HOUSE,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,INTERMEDIATE CARE/DD NURSING,6,ORANGE,2025-12-15
060001476,ANCONA HOME,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,INTERMEDIATE CARE/DD HABILITATIVE,6,ORANGE,2025-12-15
060001481,"INDEPENDENT OPTIONS, INC. SHERWOOD HOUSE",INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,INTERMEDIATE CARE/DD NURSING,6,ORANGE,2025-12-15
060001497,CRISTINA'S HOME,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,INTERMEDIATE CARE/DD HABILITATIVE,6,ORANGE,2025-12-15
060001502,"PSB HOMES, INC./DRACAENA HOME",INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,INTERMEDIATE CARE/DD HABILITATIVE,6,ORANGE,2025-12-15
060001550,AU HOMES/SAN MARINO,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,INTERMEDIATE CARE/DD HABILITATIVE,6,ORANGE,2025-12-15
060001558,NEW HORIZON INTEGRATED CARE - TROJAN,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,INTERMEDIATE CARE/DD HABILITATIVE,6,ORANGE,2025-12-15
060001568,CHAPMAN GLOBAL MEDICAL CENTER D/P SNF,SKILLED NURSING FACILITY,SKILLED NURSING,27,ORANGE,2025-12-15
060001574,ELM STREET HOME,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,INTERMEDIATE CARE/DD HABILITATIVE,6,ORANGE,2025-12-15
060001575,CRIS AVENUE HOME,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,INTERMEDIATE CARE/DD HABILITATIVE,6,ORANGE,2025-12-15
060001577,GILBUCK DRIVE HOME,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,INTERMEDIATE CARE/DD HABILITATIVE,6,ORANGE,2025-12-15
060001578,GROVE STREET HOME,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,INTERMEDIATE CARE/DD HABILITATIVE,6,ORANGE,2025-12-15
060001583,HILL ROAD HOME,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,INTERMEDIATE CARE/DD HABILITATIVE,6,ORANGE,2025-12-15
060001586,WASHINGTON AVENUE HOME,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,INTERMEDIATE CARE/DD NURSING,6,ORANGE,2025-12-15
060001591,OLIVE STREET NORTH HOME,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,INTERMEDIATE CARE/DD HABILITATIVE,6,ORANGE,2025-12-15
060001598,NEW HORIZON INTEGRATED CARE - ATHENS,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,INTERMEDIATE CARE/DD HABILITATIVE,6,ORANGE,2025-12-15
060001605,SAN ALTO HOME,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,INTERMEDIATE CARE/DD HABILITATIVE,6,ORANGE,2025-12-15
060001611,"GOCARE HOMES, INC.",INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,INTERMEDIATE CARE/DD HABILITATIVE,6,ORANGE,2025-12-15
060001627,ALL STATE HOME,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,INTERMEDIATE CARE/DD HABILITATIVE,6,ORANGE,2025-12-15
060001640,TRI-ELIZABETH HOMES III,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,INTERMEDIATE CARE/DD NURSING,6,ORANGE,2025-12-15
060001650,ELIZABETH HOMES - SAN LORENZO,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,INTERMEDIATE CARE/DD HABILITATIVE,6,ORANGE,2025-12-15
060001652,CASA DE YORBA LINDA,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,INTERMEDIATE CARE/DD HABILITATIVE,6,ORANGE,2025-12-15
060001660,CHERUB HOME,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,INTERMEDIATE CARE/DD HABILITATIVE,6,ORANGE,2025-12-15
060001661,SUNKIST HOUSE,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,INTERMEDIATE CARE/DD HABILITATIVE,6,ORANGE,2025-12-15
060001672,CAMPINA HOME,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,INTERMEDIATE CARE/DD NURSING,6,ORANGE,2025-12-15
060001674,HEALTHBRIDGE CHILDREN'S HOSPITAL - ORANGE,GENERAL ACUTE CARE HOSPITAL,UNSPECIFIED GENERAL ACUTE CARE,6,ORANGE,2025-12-15
060001680,SAN JUAN HILLS HEALTHCARE CENTER,SKILLED NURSING FACILITY,SKILLED NURSING,45,ORANGE,2025-12-15
060001682,CYPRESS ICFDDH,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,INTERMEDIATE CARE/DD HABILITATIVE,6,ORANGE,2025-12-15
060001688,ARGUS HOME,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,INTERMEDIATE CARE/DD HABILITATIVE,6,ORANGE,2025-12-15
060001698,HEALTHBRIDGE CHILDREN'S HOSPITAL - ORANGE D/P SNF,SKILLED NURSING FACILITY,SKILLED NURSING,21,ORANGE,2025-12-15
060001709,ELIZABETH HOMES - SAN RAFAEL,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,INTERMEDIATE CARE/DD HABILITATIVE,6,ORANGE,2025-12-15
060001712,TRI-ELIZABETH HOMES I,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,INTERMEDIATE CARE/DD HABILITATIVE,6,ORANGE,2025-12-15
060001717,CHAPMAN GLOBAL MEDICAL CENTER D/P APH,ACUTE PSYCHIATRIC HOSPITAL,ACUTE PSYCHIATRIC CARE,12,ORANGE,2025-12-15
060001718,BAYSHIRE YORBA LINDA POST-ACUTE,SKILLED NURSING FACILITY,SKILLED NURSING,45,ORANGE,2025-12-15
060001970,MARGARET'S HOME,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,INTERMEDIATE CARE/DD NURSING,6,ORANGE,2025-12-15
060001971,OLMSTEAD HOME,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,INTERMEDIATE CARE/DD HABILITATIVE,6,ORANGE,2025-12-15
060001990,J AND P HOMES - SAN PEDRO,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,INTERMEDIATE CARE/DD NURSING,6,ORANGE,2025-12-15
060001998,ELIZABETH HOMES - SAN RICARDO WAY,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,INTERMEDIATE CARE/DD HABILITATIVE,6,ORANGE,2025-12-15
060001999,RIDGLEA HOME,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,INTERMEDIATE CARE/DD NURSING,6,ORANGE,2025-12-15
060002145,NEURORESTORATIVE CALIFORNIA,CONGREGATE LIVING HEALTH FACILITY,CONGREGATE LIVING HEALTH FACILITY,14,ORANGE,2025-12-15
060002158,ROBIN DALE HOME,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,INTERMEDIATE CARE/DD NURSING,6,ORANGE,2025-12-15
060002181,LONIKA'S HOME,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,INTERMEDIATE CARE/DD NURSING,6,ORANGE,2025-12-15
060002256,"INDEPENDENT OPTIONS, INC. HARBOR VILLAGE V",INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,INTERMEDIATE CARE/DD HABILITATIVE,6,ORANGE,2025-12-15
060002257,"INDEPENDENT OPTIONS, INC. HARBOR VILLAGE VI",INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,INTERMEDIATE CARE/DD HABILITATIVE,6,ORANGE,2025-12-15
060002269,LONIKA HOME APHENA,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,INTERMEDIATE CARE/DD HABILITATIVE,6,ORANGE,2025-12-15
060002270,LIGHTHOUSE ICF/DD-N,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,INTERMEDIATE CARE/DD NURSING,6,ORANGE,2025-12-15
060002271,LOMITA PLACE HOME ICF/DD-H,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,INTERMEDIATE CARE/DD HABILITATIVE,6,ORANGE,2025-12-15
060002282,MJJ HOMES / BEL AIR,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,INTERMEDIATE CARE/DD NURSING,6,ORANGE,2025-12-15
070000002,WOODLANDS HEALTHCARE CENTER,SKILLED NURSING FACILITY,SKILLED NURSING,65,SANTA CLARA,2025-12-15
070000003,VASONA CREEK HEALTHCARE CENTER,SKILLED NURSING FACILITY,SKILLED NURSING,148,SANTA CLARA,2025-12-15
070000009,VISTA MANOR NURSING CENTER,SKILLED NURSING FACILITY,SKILLED NURSING,99,SANTA CLARA,2025-12-15
070000012,LINCOLN GLEN SKILLED NURSING,SKILLED NURSING FACILITY,SKILLED NURSING,59,SANTA CLARA,2025-12-15
070000023,CANYON SPRINGS POST-ACUTE,SKILLED NURSING FACILITY,SKILLED NURSING,199,SANTA CLARA,2025-12-15
070000026,STONEBROOK HEALTH AND REHABILITATION,SKILLED NURSING FACILITY,SKILLED NURSING,73,SANTA CLARA,2025-12-15
070000027,CARMEL HILLS CARE CENTER,SKILLED NURSING FACILITY,SKILLED NURSING,99,MONTEREY,2025-12-15
070000031,"CAMDEN POSTACUTE CARE, INC.",SKILLED NURSING FACILITY,SKILLED NURSING,60,SANTA CLARA,2025-12-15
070000032,CANTERBURY WOODS,SKILLED NURSING FACILITY,SKILLED NURSING,24,MONTEREY,2025-12-15
070000034,CARMEL VALLEY MANOR,SKILLED NURSING FACILITY,SKILLED NURSING,36,MONTEREY,2025-12-15
070000035,PACIFIC COAST POST ACUTE,SKILLED NURSING FACILITY,SKILLED NURSING,149,MONTEREY,2025-12-15
070000036,WHITE BLOSSOM CARE CENTER,SKILLED NURSING FACILITY,SKILLED NURSING,153,SANTA CLARA,2025-12-15
070000040,GILROY HEALTHCARE CENTER,SKILLED NURSING FACILITY,SKILLED NURSING,134,SANTA CLARA,2025-12-15
070000041,MONTEREY POST ACUTE,SKILLED NURSING FACILITY,SKILLED NURSING,78,MONTEREY,2025-12-15
070000042,WINDSOR THE RIDGE REHABILITATION CENTER,SKILLED NURSING FACILITY,SKILLED NURSING,103,MONTEREY,2025-12-15
070000043,ALMADEN HEALTHCARE AND REHABILITATION CENTER,SKILLED NURSING FACILITY,SKILLED NURSING,77,SANTA CLARA,2025-12-15
070000044,DRIFTWOOD HEALTHCARE CENTER - SANTA CRUZ,SKILLED NURSING FACILITY,SKILLED NURSING,92,SANTA CRUZ,2025-12-15
070000046,BAYWOOD POST-ACUTE,SKILLED NURSING FACILITY,SKILLED NURSING,45,SANTA CLARA,2025-12-15
070000047,MILPITAS CARE CENTER,SKILLED NURSING FACILITY,SKILLED NURSING,35,SANTA CLARA,2025-12-15
070000048,PACIFIC HILLS POST ACUTE,SKILLED NURSING FACILITY,SKILLED NURSING,99,SANTA CLARA,2025-12-15
070000049,PACIFIC COAST MANOR,SKILLED NURSING FACILITY,SKILLED NURSING,99,SANTA CRUZ,2025-12-15
070000050,"EMPRESS CARE CENTER, LLC",SKILLED NURSING FACILITY,SKILLED NURSING,67,SANTA CLARA,2025-12-15
070000057,HERMAN HEALTH CARE CENTER,SKILLED NURSING FACILITY,SKILLED NURSING,99,SANTA CLARA,2025-12-15
070000058,SANTA CRUZ POST ACUTE,SKILLED NURSING FACILITY,SKILLED NURSING,149,SANTA CRUZ,2025-12-15
070000059,MORGAN HILL HEALTHCARE CENTER,SKILLED NURSING FACILITY,SKILLED NURSING,52,SANTA CLARA,2025-12-15
070000060,HAZEL HAWKINS MEMORIAL HOSPITAL D/P SNF,SKILLED NURSING FACILITY,SKILLED NURSING,62,SAN BENITO,2025-12-15
070000061,SAN JOSE HEALTHCARE & WELLNESS CENTER,SKILLED NURSING FACILITY,SKILLED NURSING,58,SANTA CLARA,2025-12-15
070000062,WESTLAND HOUSE,SKILLED NURSING FACILITY,SKILLED NURSING,28,MONTEREY,2025-12-15
070000066,KATHERINE HEALTHCARE,SKILLED NURSING FACILITY,SKILLED NURSING,51,MONTEREY,2025-12-15
070000068,REDWOOD GROVE POST ACUTE,SKILLED NURSING FACILITY,SKILLED NURSING,144,SANTA CRUZ,2025-12-15
070000073,COURTYARD CARE CENTER,SKILLED NURSING FACILITY,SKILLED NURSING,76,SANTA CLARA,2025-12-15
070000074,CYPRESS RIDGE CARE CENTER,SKILLED NURSING FACILITY,SKILLED NURSING,99,MONTEREY,2025-12-15
070000076,THE RIDGE POST-ACUTE,SKILLED NURSING FACILITY,SKILLED NURSING,54,SANTA CLARA,2025-12-15
070000078,OCEANVIEW POST ACUTE,SKILLED NURSING FACILITY,SKILLED NURSING,51,MONTEREY,2025-12-15
070000082,PLUM TREE CARE CENTER,SKILLED NURSING FACILITY,SKILLED NURSING,76,SANTA CLARA,2025-12-15
070000084,SALINAS VALLEY POST ACUTE,SKILLED NURSING FACILITY,SKILLED NURSING,99,MONTEREY,2025-12-15
070000085,INSPIRE BEHAVIORAL HEALTH,SKILLED NURSING FACILITY,SKILLED NURSING,116,SANTA CLARA,2025-12-15
070000086,CREEKSIDE POST-ACUTE,SKILLED NURSING FACILITY,SKILLED NURSING,130,SANTA CLARA,2025-12-15
070000088,SALINAS POST ACUTE,SKILLED NURSING FACILITY,SKILLED NURSING,80,MONTEREY,2025-12-15
070000089,SKYLINE HEALTHCARE CENTER - SAN JOSE,SKILLED NURSING FACILITY,SKILLED NURSING,253,SANTA CLARA,2025-12-15
070000092,MANRESA HEALTHCARE CENTER,SKILLED NURSING FACILITY,SKILLED NURSING,59,SANTA CRUZ,2025-12-15
070000093,WATSONVILLE NURSING CENTER,SKILLED NURSING FACILITY,SKILLED NURSING,87,SANTA CRUZ,2025-12-15
070000094,WATSONVILLE POST ACUTE CENTER,SKILLED NURSING FACILITY,SKILLED NURSING,95,SANTA CRUZ,2025-12-15
070000095,A GRACE SUB ACUTE & SKILLED CARE,SKILLED NURSING FACILITY,SKILLED NURSING,166,SANTA CLARA,2025-12-15
070000096,WESTWOOD POST-ACUTE,SKILLED NURSING FACILITY,SKILLED NURSING,258,SANTA CLARA,2025-12-15
070000097,THE REDWOODS POST-ACUTE,SKILLED NURSING FACILITY,SKILLED NURSING,152,SANTA CLARA,2025-12-15
070000133,REGIONAL MEDICAL CENTER OF SAN JOSE,GENERAL ACUTE CARE HOSPITAL,INTENSIVE CARE,34,SANTA CLARA,2025-12-15
070000133,REGIONAL MEDICAL CENTER OF SAN JOSE,GENERAL ACUTE CARE HOSPITAL,INTENSIVE CARE NEWBORN NURSERY,6,SANTA CLARA,2025-12-15
070000133,REGIONAL MEDICAL CENTER OF SAN JOSE,GENERAL ACUTE CARE HOSPITAL,PERINATAL,19,SANTA CLARA,2025-12-15
070000133,REGIONAL MEDICAL CENTER OF SAN JOSE,GENERAL ACUTE CARE HOSPITAL,UNSPECIFIED GENERAL ACUTE CARE,206,SANTA CLARA,2025-12-15
070000136,EL CAMINO HEALTH LOS GATOS,GENERAL ACUTE CARE HOSPITAL,CORONARY CARE,8,SANTA CLARA,2025-12-15
070000136,EL CAMINO HEALTH LOS GATOS,GENERAL ACUTE CARE HOSPITAL,INTENSIVE CARE,7,SANTA CLARA,2025-12-15
070000136,EL CAMINO HEALTH LOS GATOS,GENERAL ACUTE CARE HOSPITAL,INTENSIVE CARE NEWBORN NURSERY,2,SANTA CLARA,2025-12-15
070000136,EL CAMINO HEALTH LOS GATOS,GENERAL ACUTE CARE HOSPITAL,PERINATAL,14,SANTA CLARA,2025-12-15
070000136,EL CAMINO HEALTH LOS GATOS,GENERAL ACUTE CARE HOSPITAL,REHABILITATION,30,SANTA CLARA,2025-12-15
070000136,EL CAMINO HEALTH LOS GATOS,GENERAL ACUTE CARE HOSPITAL,UNSPECIFIED GENERAL ACUTE CARE,82,SANTA CLARA,2025-12-15
070000137,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA,GENERAL ACUTE CARE HOSPITAL,CORONARY CARE,10,MONTEREY,2025-12-15
070000137,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA,GENERAL ACUTE CARE HOSPITAL,INTENSIVE CARE,10,MONTEREY,2025-12-15
070000137,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA,GENERAL ACUTE CARE HOSPITAL,INTENSIVE CARE NEWBORN NURSERY,8,MONTEREY,2025-12-15
070000137,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA,GENERAL ACUTE CARE HOSPITAL,PERINATAL,7,MONTEREY,2025-12-15
070000137,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA,GENERAL ACUTE CARE HOSPITAL,PEDIATRIC,6,MONTEREY,2025-12-15
070000137,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA,GENERAL ACUTE CARE HOSPITAL,REHABILITATION,13,MONTEREY,2025-12-15
070000137,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA,GENERAL ACUTE CARE HOSPITAL,UNSPECIFIED GENERAL ACUTE CARE,186,MONTEREY,2025-12-15
070000139,DOMINICAN HOSPITAL,GENERAL ACUTE CARE HOSPITAL,CORONARY CARE,6,SANTA CRUZ,2025-12-15
070000139,DOMINICAN HOSPITAL,GENERAL ACUTE CARE HOSPITAL,INTENSIVE CARE,10,SANTA CRUZ,2025-12-15
070000139,DOMINICAN HOSPITAL,GENERAL ACUTE CARE HOSPITAL,INTENSIVE CARE NEWBORN NURSERY,14,SANTA CRUZ,2025-12-15
070000139,DOMINICAN HOSPITAL,GENERAL ACUTE CARE HOSPITAL,PERINATAL,11,SANTA CRUZ,2025-12-15
070000139,DOMINICAN HOSPITAL,GENERAL ACUTE CARE HOSPITAL,PEDIATRIC,8,SANTA CRUZ,2025-12-15
070000139,DOMINICAN HOSPITAL,GENERAL ACUTE CARE HOSPITAL,REHABILITATION,20,SANTA CRUZ,2025-12-15
070000139,DOMINICAN HOSPITAL,GENERAL ACUTE CARE HOSPITAL,UNSPECIFIED GENERAL ACUTE CARE,153,SANTA CRUZ,2025-12-15
070000141,GEORGE L. MEE MEMORIAL HOSPITAL,GENERAL ACUTE CARE HOSPITAL,INTENSIVE CARE,4,MONTEREY,2025-12-15
070000141,GEORGE L. MEE MEMORIAL HOSPITAL,GENERAL ACUTE CARE HOSPITAL,PERINATAL,8,MONTEREY,2025-12-15
070000141,GEORGE L. MEE MEMORIAL HOSPITAL,GENERAL ACUTE CARE HOSPITAL,UNSPECIFIED GENERAL ACUTE CARE,13,MONTEREY,2025-12-15
070000142,HAZEL HAWKINS MEMORIAL HOSPITAL,GENERAL ACUTE CARE HOSPITAL,INTENSIVE CARE,4,SAN BENITO,2025-12-15
070000142,HAZEL HAWKINS MEMORIAL HOSPITAL,GENERAL ACUTE CARE HOSPITAL,PERINATAL,6,SAN BENITO,2025-12-15
070000142,HAZEL HAWKINS MEMORIAL HOSPITAL,GENERAL ACUTE CARE HOSPITAL,UNSPECIFIED GENERAL ACUTE CARE,15,SAN BENITO,2025-12-15
070000145,NATIVIDAD MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,INTENSIVE CARE,10,MONTEREY,2025-12-15
070000145,NATIVIDAD MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,INTENSIVE CARE NEWBORN NURSERY,15,MONTEREY,2025-12-15
070000145,NATIVIDAD MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,PERINATAL,27,MONTEREY,2025-12-15
070000145,NATIVIDAD MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,PEDIATRIC,12,MONTEREY,2025-12-15
070000145,NATIVIDAD MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,REHABILITATION,28,MONTEREY,2025-12-15
070000145,NATIVIDAD MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,UNSPECIFIED GENERAL ACUTE CARE,58,MONTEREY,2025-12-15
070000146,O'CONNOR HOSPITAL,GENERAL ACUTE CARE HOSPITAL,CORONARY CARE,8,SANTA CLARA,2025-12-15
070000146,O'CONNOR HOSPITAL,GENERAL ACUTE CARE HOSPITAL,INTENSIVE CARE,14,SANTA CLARA,2025-12-15
070000146,O'CONNOR HOSPITAL,GENERAL ACUTE CARE HOSPITAL,INTENSIVE CARE NEWBORN NURSERY,10,SANTA CLARA,2025-12-15
070000146,O'CONNOR HOSPITAL,GENERAL ACUTE CARE HOSPITAL,PERINATAL,65,SANTA CLARA,2025-12-15
070000146,O'CONNOR HOSPITAL,GENERAL ACUTE CARE HOSPITAL,PEDIATRIC,27,SANTA CLARA,2025-12-15
070000146,O'CONNOR HOSPITAL,GENERAL ACUTE CARE HOSPITAL,UNSPECIFIED GENERAL ACUTE CARE,210,SANTA CLARA,2025-12-15
070000147,SALINAS VALLEY HEALTH MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,CORONARY CARE,7,MONTEREY,2025-12-15
070000147,SALINAS VALLEY HEALTH MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,INTENSIVE CARE,6,MONTEREY,2025-12-15
070000147,SALINAS VALLEY HEALTH MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,INTENSIVE CARE NEWBORN NURSERY,11,MONTEREY,2025-12-15
070000147,SALINAS VALLEY HEALTH MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,PERINATAL,23,MONTEREY,2025-12-15
070000147,SALINAS VALLEY HEALTH MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,PEDIATRIC,8,MONTEREY,2025-12-15
070000147,SALINAS VALLEY HEALTH MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,UNSPECIFIED GENERAL ACUTE CARE,208,MONTEREY,2025-12-15
070000149,SANTA CLARA VALLEY MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,BURN,8,SANTA CLARA,2025-12-15
070000149,SANTA CLARA VALLEY MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,CORONARY CARE,12,SANTA CLARA,2025-12-15
070000149,SANTA CLARA VALLEY MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,INTENSIVE CARE,56,SANTA CLARA,2025-12-15
070000149,SANTA CLARA VALLEY MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,INTENSIVE CARE NEWBORN NURSERY,40,SANTA CLARA,2025-12-15
070000149,SANTA CLARA VALLEY MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,PERINATAL,68,SANTA CLARA,2025-12-15
070000149,SANTA CLARA VALLEY MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,PEDIATRIC,40,SANTA CLARA,2025-12-15
070000149,SANTA CLARA VALLEY MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,REHABILITATION,96,SANTA CLARA,2025-12-15
